Date,Eurekahedge CTA Index,SG CTA Index,S&P 500,US Aggregate Bond Index,risk free rate,,Returns,,,,,,,,Risk Free rate,,,,,,,Returns deviation,,,
 TEST day,100.00,1000,1469.25,833.75,6.44%,,Eurekahedge CTA Index,Best Month returns,SG CTA Index,Best Month returns,S&P 500,Best Month returns,US Aggregate Bond Index,Best Month returns,3.26%,,Eurekahedge CTA Index,SG CTA Index,S&P 500,US Aggregate Bond Index,,Eurekahedge CTA Index,SG CTA Index,S&P 500,US Aggregate Bond Index
Jan 2000,101.99,996.74,1394.46,829.39,6.67%,,1.99%,8.33%,-0.33%,9.76%,-5.09%,12.68%,-0.52%,3.75%,,mean returns,0.71%,0.36%,0.47%,0.42%,,0.0128,-0.0069,-0.0556,-0.0094
Feb 2000,102.84,1020.152551,1366.42,832.85,6.41%,,0.83%,Worst Month returns,2.35%,Worst Month returns,-2.01%,Worst Month returns,0.42%,Worst Month returns,,annualized mean returns,8.47%,4.33%,5.67%,5.02%,,0.0013,0.0199,-0.0248,0.0000
Mar 2000,101.71,1006.525376,1498.58,841.86,6.02%,,-1.09%,-4.32%,-1.34%,-8.19%,9.67%,-16.94%,1.08%,-3.34%,,Variance,0.0003,0.0007,0.0019,0.0001,,-0.0180,-0.0170,0.0920,0.0066
Apr 2000,100.84,989.513773,1452.43,853.81,6.21%,,-0.86%,,-1.69%,,-3.08%,,1.42%,,,SD,#NAME?,#NAME?,#NAME?,#NAME?,,-0.0156,-0.0205,-0.0355,0.0100
May 2000,103.13,976.685066,1420.6,849.15,6.29%,,2.27%,,-1.30%,,-2.19%,,-0.55%,,,SD(from deviation),0.0184,0.0259,0.0436,0.0099,,0.0157,-0.0166,-0.0266,-0.0096
Jun 2000,102.85,983.491499,1454.6,853.76,6.02%,,-0.27%,,0.70%,,2.39%,,0.54%,,,annualized volatility,0.0639,0.0896,0.1509,0.0344,,-0.0098,0.0034,0.0192,0.0012
Jul 2000,101.96,964.121469,1430.83,869.09,6.03%,,-0.86%,,-1.97%,,-1.63%,,1.80%,,,Sharpe ratio(annualized),0.816326939,0.119409863,0.159714619,0.511413764,,-0.0157,-0.0233,-0.0211,0.0138
Aug 2000,105.89,947.42793,1517.68,876.47,5.73%,,3.85%,,-1.73%,,6.07%,,0.85%,,,,,,,,,0.0315,-0.0209,0.0560,0.0043
Sep 2000,105.10,960.957654,1436.51,889.65,5.78%,,-0.74%,,1.43%,,-5.35%,,1.50%,,,,,,,,,-0.0145,0.0107,-0.0582,0.0109
Oct 2000,106.69,931.030768,1429.4,892.6,5.76%,,1.51%,,-3.11%,,-0.49%,,0.33%,,,,,,,,,0.0081,-0.0347,-0.0097,-0.0009
Nov 2000,111.91,937.804879,1314.95,900.59,5.44%,,4.89%,,0.73%,,-8.01%,,0.90%,,,,,,,,,0.0418,0.0037,-0.0848,0.0048
Dec 2000,121.22,998.241616,1320.28,911.58,5.11%,,8.33%,,6.44%,,0.41%,,1.22%,,,,,,,,,0.0762,0.0608,-0.0007,0.0080
Jan 2001,122.95,1095.622125,1366.01,938.84,5.18%,,1.43%,,9.76%,,3.46%,,2.99%,,,,,,,,,0.0072,0.0939,0.0299,0.0257
Feb 2001,123.61,1106.444138,1239.94,949.28,4.91%,,0.53%,,0.99%,,-9.23%,,1.11%,,,,,,,,,-0.0017,0.0063,-0.0970,0.0069
