Date,PX_LAST,Nasdaq,SG_CTA,Dow_Jones,S&P500
2000/1/3,829.39,4131.149902,996.74,11357.51,1455.22
2000/1/4,832.53,3901.689941,986.991882,10997.94,1399.42
2000/1/5,828.84,3877.540039,984.159216,11122.66,1402.11
2000/1/6,831.02,3727.129883,982.397571,11253.27,1403.45
2000/1/7,833.27,3882.620117,977.014032,11522.56,1441.47
2000/1/10,831.98,4049.669922,979.759442,11572.2,1457.6
2000/1/11,828.11,3921.189941,993.505467,11511.09,1438.56
2000/1/12,827.04,3850.02002,996.257477,11551.11,1432.25
2000/1/13,830.78,3957.209961,994.693353,11582.44,1449.68
2000/1/14,829.45,4064.27002,1004.341878,11722.98,1465.15
2000/1/18,827.44,4130.810059,1006.300344,11560.73,1455.14
2000/1/19,828.56,4151.290039,1016.554544,11489.37,1455.9
2000/1/20,827.42,4189.509766,1013.433721,11351.3,1445.57
2000/1/21,828.15,4235.399902,1012.967542,11251.72,1441.36
2000/1/24,831.84,4096.080078,1011.053034,11008.17,1401.53
2000/1/25,832.09,4167.410156,1011.851766,11029.89,1410.03
2000/1/26,832.89,4069.909912,1011.659514,11032.99,1404.09
2000/1/27,833.28,4039.560059,1006.935064,11028.03,1398.56
2000/1/28,833.71,3887.070068,1014.617978,10738.88,1360.16
2000/1/31,831.02,3940.350098,1021.568112,10940.54,1394.46
2000/2/1,832.85,4051.97998,1023.396719,11041.06,1409.28
2000/2/2,833.3,4073.959961,1020.152551,11003.21,1409.12
2000/2/3,837.01,4210.97998,1014.939572,11013.45,1424.97
2000/2/4,834.8,4244.140137,1001.278486,10963.81,1424.37
2000/2/7,832.17,4321.77002,1009.228637,10905.79,1424.24
2000/2/8,834.91,4427.5,1018.06948,10957.61,1441.72
2000/2/9,832.82,4363.240234,1010.88191,10699.17,1411.71
2000/2/10,831.01,4485.629883,1012.934001,10643.64,1416.83
2000/2/11,832.34,4395.450195,1019.913116,10425.22,1387.12
2000/2/14,835.87,4418.549805,1018.209861,10519.85,1389.94
2000/2/15,834.92,4420.77002,1021.488497,10718.1,1402.05
2000/2/16,834.2,4427.649902,1018.6079,10561.42,1387.67
2000/2/17,833.98,4548.919922,1018.821807,10514.57,1388.26
2000/2/18,836.8,4411.740234,1022.52013,10219.53,1346.09
2000/2/22,842.3,4382.120117,1025.444538,10304.85,1352.17
2000/2/23,839.54,4550.330078,1023.752553,10225.73,1360.69
2000/2/24,842.36,4617.649902,1011.68251,10092.64,1353.43
2000/2/25,842.26,4590.5,1015.445969,9862.12,1333.36
2000/2/28,839.67,4577.850098,1014.471141,10038.66,1348.05
2000/2/29,841.07,4696.689941,1014.065352,10128.31,1366.42
2000/3/1,841.86,4784.080078,1008.873338,10137.93,1379.19
2000/3/2,842.06,4754.509766,1015.451192,10164.92,1381.76
2000/3/3,843.75,4914.790039,1006.525376,10367.2,1409.17
2000/3/6,842.64,4904.850098,1011.970679,10170.51,1391.28
2000/3/7,843.47,4847.839844,1012.942171,9796.04,1355.62
2000/3/8,843.32,4897.259766,1015.302326,9856.54,1366.7
2000/3/9,843.92,5046.859863,1018.459916,10010.73,1401.69
2000/3/10,842.1,5048.620117,1007.246672,9928.83,1395.07
2000/3/13,842.9,4907.240234,1000.99167,9947.13,1383.62
2000/3/14,843.82,4706.629883,1000.401085,9811.24,1359.15
2000/3/15,844.62,4582.620117,994.638775,10131.42,1392.14
2000/3/16,845.8,4717.390137,992.092499,10630.61,1458.47
2000/3/17,847.89,4798.129883,993.402061,10595.24,1464.47
2000/3/20,848.36,4610,994.653748,10680.25,1456.63
2000/3/21,848.94,4711.680176,1000.731082,10907.35,1493.87
2000/3/22,849.03,4864.75,995.207047,10866.7,1500.64
2000/3/23,850.33,4940.609863,1001.735606,11119.86,1527.35
2000/3/24,846.87,4963.029785,1002.677238,11112.73,1527.46
2000/3/27,846.66,4958.560059,997.724012,11025.86,1523.86
2000/3/28,846.7,4833.890137,989.911833,10936.12,1507.73
2000/3/29,846.86,4644.669922,988.931821,11018.72,1508.52
2000/3/30,850.42,4457.890137,989.386729,10980.25,1487.92
2000/3/31,852.15,4572.830078,991.2072,10921.93,1498.58
2000/4/3,853.81,4223.680176,985.022068,11221.94,1505.97
2000/4/4,859.15,4148.890137,996.408923,11164.85,1494.73
2000/4/5,857.83,4169.220215,989.513773,11033.93,1487.37
2000/4/6,856.84,4267.560059,984.140714,11114.28,1501.34
2000/4/7,859,4446.450195,981.640996,11111.49,1516.35
2000/4/10,860.69,4188.200195,980.090003,11186.57,1504.46
2000/4/11,857.32,4055.899902,985.647114,11287.09,1500.59
2000/4/12,854.77,3769.629883,982.611321,11125.14,1467.17
2000/4/13,856.75,3676.780029,975.860781,10923.55,1440.51
2000/4/14,858.42,3321.290039,973.362578,10305.78,1356.56
2000/4/17,855.34,3539.159912,974.501413,10582.52,1401.44
2000/4/18,854.8,3793.570068,981.508078,10767.42,1441.61
2000/4/19,857.34,3706.409912,983.441649,10674.97,1427.47
2000/4/20,857.65,3643.879883,977.983547,10844.06,1434.54
2000/4/24,857.55,3482.47998,979.186467,10906.1,1429.86
2000/4/25,853.59,3711.22998,976.131405,11124.83,1477.44
2000/4/26,852.97,3630.090088,977.214911,10945.5,1460.99
2000/4/27,849.11,3774.030029,977.078101,10888.11,1464.92
2000/4/28,849.71,3860.659912,980.878934,10733.92,1452.43
2000/5/1,849.15,3958.080078,981.281095,10811.79,1468.25
2000/5/2,847.6,3785.449951,981.663794,10731.13,1446.29
2000/5/3,843.89,3707.310059,981.977927,10480.13,1415.1
2000/5/4,840.16,3720.23999,976.685066,10412.5,1409.57
2000/5/5,837.8,3816.820068,970.707754,10577.86,1432.63
2000/5/8,836.17,3669.379883,972.047331,10603.64,1424.17
2000/5/9,837.76,3585.01001,971.240531,10536.75,1412.14
2000/5/10,839.81,3384.72998,967.297295,10367.79,1383.05
2000/5/11,840.38,3499.580078,970.489376,10545.97,1407.81
2000/5/12,836.72,3529.060059,970.567015,10609.37,1420.96
2000/5/15,838.67,3607.649902,975.701315,10807.78,1452.36
2000/5/16,840.74,3717.570068,984.228945,10934.57,1466.04
2000/5/17,839.63,3644.959961,974.27839,10769.74,1447.8
2000/5/18,836.75,3538.709961,980.085089,10777.28,1437.21
2000/5/19,838.39,3390.399902,981.094577,10626.86,1406.95
2000/5/22,841.96,3364.209961,989.571234,10542.55,1400.72
2000/5/23,841.55,3164.550049,998.180503,10422.28,1373.86
2000/5/24,841.45,3270.610107,990.015386,10535.35,1399.05
2000/5/25,845.05,3205.350098,985.986024,10323.92,1381.52
2000/5/26,847.56,3205.110107,987.317105,10299.24,1378.02
2000/5/30,845.97,3459.47998,997.51609,10527.14,1422.45
2000/5/31,849.32,3400.909912,995.062202,10522.34,1420.6
2000/6/1,853.76,3582.5,987.041999,10652.2,1448.81
2000/6/2,857.47,3813.379883,986.854461,10794.76,1477.26
2000/6/5,860.38,3821.76001,984.594565,10815.31,1467.63
2000/6/6,860.4,3756.370117,983.255517,10735.58,1457.84
2000/6/7,860.41,3839.26001,983.491499,10812.87,1471.36
2000/6/8,860.28,3825.560059,972.771441,10668.73,1461.67
2000/6/9,860.13,3874.840088,961.983406,10614.07,1456.95
2000/6/12,862.06,3767.909912,955.259142,10564.21,1446
2000/6/13,862.08,3851.060059,958.75539,10621.85,1469.44
2000/6/14,864.54,3797.409912,960.998878,10687.96,1470.54
2000/6/15,864.3,3845.73999,967.63938,10714.83,1478.73
2000/6/16,867.43,3860.560059,970.097184,10449.31,1464.46
2000/6/19,866.7,3989.830078,975.830459,10557.85,1486
2000/6/20,865.63,4013.360107,976.933148,10435.17,1475.95
2000/6/21,862.37,4064.01001,971.071549,10497.75,1479.13
2000/6/22,861.36,3936.840088,973.654599,10376.12,1452.18
2000/6/23,859.33,3845.340088,968.620805,10404.76,1441.48
2000/6/26,862.47,3912.120117,968.45614,10543,1455.31
2000/6/27,863.16,3858.959961,965.056858,10504.47,1450.55
2000/6/28,862.5,3940.340088,961.399293,10527.8,1454.82
2000/6/29,865.86,3877.22998,964.071983,10398.04,1442.39
2000/6/30,866.99,3966.110107,964.139468,10447.9,1454.6
2000/7/3,869.09,3991.929932,964.766159,10560.68,1469.54
2000/7/5,870.58,3863.100098,962.826979,10483.6,1446.23
