Date,Eurekahedge CTA Index,SG CTA Index,S&P 500,US Aggregate Bond Index,risk free rate
 TEST day,100.00,1000,1469.25,833.75,6.44%
Jan 2000,101.99,996.74,1394.46,829.39,6.67%
Feb 2000,102.84,1020.152551,1366.42,832.85,6.41%
Mar 2000,101.71,1006.525376,1498.58,841.86,6.02%
Apr 2000,100.84,989.513773,1452.43,853.81,6.21%
May 2000,103.13,976.685066,1420.6,849.15,6.29%
Jun 2000,102.85,983.491499,1454.6,853.76,6.02%
Jul 2000,101.96,964.121469,1430.83,869.09,6.03%
Aug 2000,105.89,947.42793,1517.68,876.47,5.73%
Sep 2000,105.10,960.957654,1436.51,889.65,5.78%
Oct 2000,106.69,931.030768,1429.4,892.6,5.76%
Nov 2000,111.91,937.804879,1314.95,900.59,5.44%
Dec 2000,121.22,998.241616,1320.28,911.58,5.11%
Jan 2001,122.95,1095.622125,1366.01,938.84,5.18%
Feb 2001,123.61,1106.444138,1239.94,949.28,4.91%
Mar 2001,129.61,1112.9906,1160.33,955.92,4.92%
Apr 2001,125.97,1163.16195,1249.46,958.2,5.34%
May 2001,127.74,1109.307394,1255.82,957.07,5.41%
Jun 2001,127.20,1117.527519,1224.38,962.59,5.39%
Jul 2001,126.90,1111.19084,1211.23,967.5,5.04%
Aug 2001,129.51,1106.713985,1133.58,984.88,4.82%
Sep 2001,132.51,1126.569868,1040.94,990.53,4.58%
Oct 2001,137.21,1148.221703,1059.78,1010.18,4.26%
Nov 2001,131.28,1190.886498,1139.45,1030.78,4.74%
Dec 2001,132.98,1093.407418,1148.08,1017.05,5.03%
Jan 2002,132.09,1122.848794,1130.2,1004.79,5.03%
Feb 2002,130.00,1112.461314,1106.73,1019.44,4.86%
Mar 2002,131.40,1090.817737,1147.39,1022.98,5.41%
Apr 2002,130.81,1099.658502,1076.92,1009.65,5.09%
May 2002,135.56,1083.064144,1067.14,1030.46,5.04%
Jun 2002,144.16,1126.954659,989.82,1039.07,4.82%
Jul 2002,149.76,1193.568556,911.62,1048.19,4.47%
Aug 2002,152.81,1238.237357,916.07,1063.27,4.14%
Sep 2002,157.30,1259.552849,815.28,1083.91,3.61%
Oct 2002,153.46,1281.063847,885.76,1092.59,3.91%
Nov 2002,152.58,1240.030833,936.31,1088.6,4.21%
Dec 2002,161.17,1213.346476,879.82,1090.45,3.82%
Jan 2003,167.36,1267.563427,855.7,1104.97,3.98%
Feb 2003,172.51,1325.884587,841.15,1113.73,3.70%
Mar 2003,166.10,1396.369614,848.18,1130.16,3.82%
Apr 2003,168.49,1313.876743,916.92,1128.16,3.86%
May 2003,177.44,1341.458842,963.59,1137.78,3.35%
Jun 2003,174.53,1406.222081,974.5,1156.31,3.53%
Jul 2003,174.20,1395.367368,990.31,1155.68,4.47%
Aug 2003,175.81,1378.879898,1008.01,1117.04,4.45%
Sep 2003,177.51,1406.698795,995.97,1118.04,3.94%
Oct 2003,182.92,1405.558101,1050.71,1154.82,4.30%
Nov 2003,182.80,1411.56048,1058.2,1141.26,4.32%
Dec 2003,188.66,1424.989097,1111.92,1143.85,4.26%
Jan 2004,190.58,1466.756228,1131.13,1153.28,4.14%
Feb 2004,198.58,1482.839575,1144.94,1167.27,3.98%
Mar 2004,199.72,1548.523253,1126.21,1180.34,3.84%
Apr 2004,193.43,1521.580672,1107.3,1186.68,4.50%
May 2004,192.00,1474.777587,1120.68,1158.24,4.66%
Jun 2004,188.17,1461.318308,1140.84,1151.02,4.62%
Jul 2004,187.70,1414.775979,1101.72,1163.29,4.48%
Aug 2004,187.14,1402.746888,1104.24,1172.71,4.13%
Sep 2004,190.80,1380.064487,1114.58,1194.45,4.12%
Oct 2004,194.53,1387.241303,1130.2,1194.2,4.03%
Nov 2004,202.18,1419.368041,1173.82,1204.63,4.36%
Dec 2004,202.67,1491.232019,1211.92,1197.2,4.22%
Jan 2005,198.44,1485.05666,1181.27,1208.95,4.13%
Feb 2005,200.12,1449.365981,1203.6,1216.12,4.36%
Mar 2005,199.44,1463.418295,1180.59,1208.41,4.50%
Apr 2005,196.09,1470.721099,1156.85,1205.44,4.20%
May 2005,200.87,1438.31854,1191.5,1219.84,4.01%
Jun 2005,205.44,1473.496096,1191.33,1237.57,3.95%
Jul 2005,206.42,1502.036114,1234.18,1234.47,4.29%
Aug 2005,208.72,1483.994725,1220.33,1226.13,4.02%
Sep 2005,211.79,1493.584292,1228.81,1244.81,4.33%
Oct 2005,211.36,1520.103374,1207.01,1228.05,4.56%
Nov 2005,218.73,1515.261872,1249.48,1219.98,4.50%
Dec 2005,220.22,1570.694311,1248.29,1224.9,4.40%
Jan 2006,225.18,1537.773897,1280.08,1240.17,4.53%
Feb 2006,223.68,1555.359644,1280.66,1235.92,4.55%
Mar 2006,228.72,1547.400286,1294.87,1239.76,4.85%
Apr 2006,237.57,1590.012164,1310.61,1229.27,5.07%
May 2006,236.98,1618.602448,1270.09,1224.37,5.11%
Jun 2006,235.40,1584.569846,1270.2,1227.28,5.14%
Jul 2006,232.08,1568.178008,1276.66,1228.93,4.99%
Aug 2006,234.01,1539.22448,1303.82,1246.41,4.73%
Sep 2006,232.69,1535.752826,1335.85,1265.66,4.63%
Oct 2006,236.04,1527.420758,1377.94,1277.13,4.61%
Nov 2006,242.58,1548.895284,1400.63,1287.19,4.46%
Dec 2006,243.52,1589.525649,1418.3,1301.88,4.71%
Jan 2007,246.41,1625.021045,1438.24,1293.39,4.83%
Feb 2007,244.91,1648.819887,1406.82,1290.85,4.55%
Mar 2007,241.88,1595.017401,1420.86,1311.06,4.65%
Apr 2007,246.63,1600.91097,1482.37,1311.69,4.63%
May 2007,251.23,1647.765446,1530.62,1317.56,4.89%
Jun 2007,255.90,1718.762581,1503.35,1304.59,5.03%
Jul 2007,254.05,1743.559109,1455.27,1306.57,4.77%
Aug 2007,250.38,1680.765053,1473.99,1315.84,4.54%
Sep 2007,263.86,1626.814585,1526.75,1331.27,4.58%
Oct 2007,270.70,1695.689071,1549.38,1342.84,4.48%
Nov 2007,273.69,1743.835333,1481.14,1359.49,3.97%
Dec 2007,280.37,1748.421099,1468.36,1382.09,4.04%
Jan 2008,286.16,1755.732653,1378.55,1390.65,3.64%
Feb 2008,305.02,1784.22295,1330.63,1407.79,3.53%
Mar 2008,303.75,1882.141671,1322.7,1405.26,3.43%
Apr 2008,304.83,1836.618087,1385.59,1405.18,3.76%
May 2008,310.99,1815.467655,1400.38,1410.54,4.05%
Jun 2008,320.39,1857.086516,1280,1402.98,3.98%
Jul 2008,312.26,1907.749089,1267.38,1395.48,3.98%
Aug 2008,313.04,1851.661036,1282.83,1397.31,3.81%
Sep 2008,312.33,1816.887323,1166.36,1413.59,3.83%
Oct 2008,323.56,1824.963904,968.75,1393.52,3.97%
Nov 2008,328.69,1914.750595,896.24,1362.97,2.96%
Dec 2008,334.77,1970.142016,903.25,1408.88,2.24%
Jan 2009,336.80,1985.143907,825.88,1446.47,2.84%
Feb 2009,336.95,1993.321609,735.09,1447.27,3.04%
Mar 2009,333.32,2014.114837,797.87,1440.85,2.69%
Apr 2009,333.79,1942.901245,872.81,1457.52,3.12%
May 2009,347.87,1899.42379,919.14,1460.9,3.47%
Jun 2009,344.73,1936.728475,919.32,1463.14,3.52%
Jul 2009,344.35,1894.70461,987.48,1482.3,3.50%
Aug 2009,347.77,1890.977052,1020.62,1499.96,3.40%
Sep 2009,351.63,1891.839886,1057.08,1522.71,3.31%
Oct 2009,349.16,1937.585965,1036.19,1542.95,3.39%
Nov 2009,360.00,1914.794417,1095.63,1543.4,3.20%
Dec 2009,356.04,1980.430431,1115.1,1561.29,3.84%
Jan 2010,350.38,1901.596537,1073.87,1542.4,3.61%
Feb 2010,352.73,1863.005684,1104.49,1561.4,3.60%
Mar 2010,357.74,1896.821061,1169.43,1569.45,3.83%
Apr 2010,361.71,1947.552237,1186.69,1565.63,3.66%
May 2010,358.56,1967.141123,1089.41,1581.13,3.30%
Jun 2010,360.39,1935.07833,1030.71,1598.1,2.95%
Jul 2010,361.69,1921.436314,1101.6,1623.39,2.91%
Aug 2010,370.12,1928.315963,1049.33,1636.7,2.48%
Sep 2010,381.10,1977.902233,1141.2,1655.49,2.52%
Oct 2010,392.00,2010.976453,1183.26,1662.76,2.61%
Nov 2010,388.56,2071.174825,1180.55,1668.62,2.80%
Dec 2010,404.02,2023.983914,1257.64,1648.25,3.31%
Jan 2011,403.12,2079.502148,1286.12,1639.71,3.38%
Feb 2011,409.46,2073.871681,1327.22,1639.29,3.41%
Mar 2011,407.60,2071.511781,1325.83,1647.89,3.45%
Apr 2011,418.74,2055.479294,1363.61,1647.88,3.30%
May 2011,411.51,2122.136042,1345.2,1669.72,3.05%
Jun 2011,403.89,2030.288911,1320.64,1696.51,3.16%
Jul 2011,412.32,1991.322937,1292.28,1683.7,2.81%
Aug 2011,413.72,2058.675462,1218.89,1717.03,2.22%
